state,name,start_date,end_date
BY,Buß- und Bettag,2022-11-16,2022-11-16
BY,Weihnachtsferien,2022-12-24,2023-01-07
BY,Frühjahrsferien,2023-02-20,2023-02-24
BY,Osterferien,2023-04-03,2023-04-15
BY,Pfingstferien,2023-05-30,2023-06-09
BY,Sommerferien,2023-07-31,2023-09-11
BY,Herbstferien,2023-10-30,2023-11-04
BY,Buß- und Bettag,2023-11-22,2023-11-22
BY,Weihnachtsferien,2023-12-23,2024-01-05
BY,Frühjahrsferien,2024-02-12,2024-02-16
BY,Osterferien,2024-03-25,2024-04-06
BY,Pfingstferien,2024-05-21,2024-06-01
BY,Sommerferien,2024-07-29,2024-09-09
BY,Herbstferien,2024-10-28,2024-10-31
BY,Buß- und Bettag,2024-11-20,2024-11-20
BY,Weihnachtsferien,2024-12-23,2025-01-03
BY,Frühjahrsferien,2025-03-03,2025-03-07
BY,Osterferien,2025-04-14,2025-04-25
BY,Pfingstferien,2025-06-10,2025-06-20
BY,Sommerferien,2025-08-01,2025-09-15
BY,Herbstferien,2025-11-03,2025-11-07
BY,Buß- und Bettag,2025-11-19,2025-11-19
BY,Weihnachtsferien,2025-12-22,2026-01-05
BY,Frühjahrsferien,2026-02-16,2026-02-20
BY,Osterferien,2026-03-30,2026-04-10
BY,Pfingstferien,2026-05-26,2026-06-05
BY,Sommerferien,2026-08-03,2026-09-14
BY,Herbstferien,2026-11-02,2026-11-06
BY,Buß- und Bettag,2026-11-18,2026-11-18
BY,Weihnachtsferien,2026-12-24,2027-01-08
BY,Frühjahrsferien,2027-02-08,2027-02-12
BY,Osterferien,2027-03-22,2027-04-02
BY,Pfingstferien,2027-05-18,2027-05-28
BY,Sommerferien,2027-08-02,2027-09-13
BY,Herbstferien,2027-11-02,2027-11-05
BY,Buß- und Bettag,2027-11-17,2027-11-17
BY,Weihnachtsferien,2027-12-24,2028-01-07
HB,Halbjahresferien,2022-01-31,2022-02-01
HB,Osterferien,2022-04-04,2022-04-19
HB,Tag nach Himmelfahrt,2022-05-27,2022-05-27
HB,Pfingstferien,2022-06-07,2022-06-07
HB,Sommerferien,2022-07-14,2022-08-24
HB,Herbstferien,2022-10-17,2022-10-29
HB,Weihnachtsferien,2022-12-23,2023-01-06
HB,Halbjahresferien,2023-01-30,2023-01-31
HB,Osterferien,2023-03-27,2023-04-11
HB,Tag nach Himmelfahrt,2023-05-19,2023-05-19
HB,Pfingstferien,2023-05-30,2023-05-30
HB,Sommerferien,2023-07-06,2023-08-16
HB,Tag vor dem 3. Oktober,2023-10-02,2023-10-02
HB,Herbstferien,2023-10-16,2023-10-30
HB,Weihnachtsferien,2023-12-23,2024-01-05
HB,Halbjahresferien,2024-02-01,2024-02-02
HB,Osterferien,2024-03-18,2024-03-28
HB,Tag nach Himmelfahrt,2024-05-10,2024-05-10
HB,Pfingstferien,2024-05-21,2024-05-21
HB,Sommerferien,2024-06-24,2024-08-02
HB,Herbstferien,2024-10-04,2024-10-19
HB,Tag nach dem Reformationstag,2024-11-01,2024-11-01
HB,Weihnachtsferien,2024-12-23,2025-01-04
HB,Halbjahresferien,2025-02-03,2025-02-04
HB,Osterferien,2025-04-07,2025-04-19
HB,Kirchentag und Tag nach dem 1. Mai,2025-04-30,2025-05-02
HB,Tag nach Himmelfahrt,2025-05-30,2025-05-30
HB,Pfingstferien,2025-06-10,2025-06-10
HB,Sommerferien,2025-07-03,2025-08-13
HB,Herbstferien,2025-10-13,2025-10-25
HB,Weihnachtsferien,2025-12-22,2026-01-05
HB,Halbjahresferien,2026-02-02,2026-02-03
HB,Osterferien,2026-03-23,2026-04-07
HB,Tag nach Himmelfahrt,2026-05-15,2026-05-15
HB,Pfingstferien,2026-05-26,2026-05-26
HB,Sommerferien,2026-07-02,2026-08-12
HB,Herbstferien,2026-10-12,2026-10-24
HB,Weihnachtsferien,2026-12-23,2027-01-09
HB,Halbjahresferien,2027-02-01,2027-02-02
HB,Osterferien,2027-03-22,2027-04-03
HB,Tag nach Himmelfahrt,2027-05-07,2027-05-07
HB,Pfingstferien,2027-05-18,2027-05-18
HB,Sommerferien,2027-07-08,2027-08-18
HB,Herbstferien,2027-10-18,2027-10-30
HB,Weihnachtsferien,2027-12-23,2028-01-08
HE,Osterferien,2022-04-11,2022-04-23
HE,Sommerferien,2022-07-25,2022-09-02
HE,Herbstferien,2022-10-24,2022-10-29
HE,Weihnachtsferien,2022-12-22,2023-01-07
HE,Osterferien,2023-04-03,2023-04-22
HE,Sommerferien,2023-07-24,2023-09-01
HE,Herbstferien,2023-10-23,2023-10-28
HE,Weihnachtsferien,2023-12-27,2024-01-13
HE,Osterferien,2024-03-25,2024-04-13
HE,Sommerferien,2024-07-15,2024-08-23
HE,Herbstferien,2024-10-14,2024-10-25
HE,Weihnachtsferien,2024-12-23,2025-01-10
HE,Osterferien,2025-04-07,2025-04-21
HE,Sommerferien,2025-07-07,2025-08-15
HE,Herbstferien,2025-10-06,2025-10-18
HE,Weihnachtsferien,2025-12-22,2026-01-10
HE,Osterferien,2026-03-30,2026-04-10
HE,Sommerferien,2026-06-29,2026-08-07
HE,Herbstferien,2026-10-05,2026-10-17
HE,Weihnachtsferien,2026-12-23,2027-01-12
HE,Osterferien,2027-03-22,2027-04-02
HE,Sommerferien,2027-06-28,2027-08-06
HE,Herbstferien,2027-10-04,2027-10-16
HE,Weihnachtsferien,2027-12-23,2028-01-11
HH,Halbjahrespause,2022-01-28,2022-01-28
HH,Frühjahrsferien,2022-03-07,2022-03-18
HH,Pfingstferien,2022-05-23,2022-05-27
HH,Sommerferien,2022-07-07,2022-08-17
