date,covid_infection_rate
2020-10-18,48.2
2020-10-19,49.8
2020-10-20,52.5
2020-10-21,57.3
2020-10-22,63.4
2020-10-23,70.6
2020-10-24,77.7
2020-10-25,84.2
2020-10-26,88.7
2020-10-27,95.3
2020-10-28,103.0
2020-10-29,111.1
2020-10-30,118.1
2020-10-31,124.5
2020-11-01,127.9
2020-11-02,131.6
2020-11-03,135.4
2020-11-04,139.4
2020-11-05,141.7
2020-11-06,144.6
2020-11-07,147.2
2020-11-08,149.5
2020-11-09,149.0
2020-11-10,149.9
2020-11-11,150.2
2020-11-12,152.0
2020-11-13,153.5
2020-11-14,153.2
2020-11-15,153.1
2020-11-16,151.6
2020-11-17,150.0
2020-11-18,150.9
2020-11-19,152.1
2020-11-20,152.3
2020-11-21,153.5
2020-11-22,152.3
2020-11-23,152.2
2020-11-24,152.6
2020-11-25,151.5
2020-11-26,149.5
2020-11-27,148.3
2020-11-28,145.8
2020-11-29,146.0
2020-11-30,146.0
2020-12-01,143.9
2020-12-02,143.7
2020-12-03,145.1
2020-12-04,147.1
2020-12-05,149.5
2020-12-06,150.4
2020-12-07,152.1
2020-12-08,155.8
2020-12-09,160.0
2020-12-10,165.2
2020-12-11,170.7
2020-12-12,176.7
2020-12-13,182.5
2020-12-14,185.2
2020-12-15,188.3
2020-12-16,193.1
2020-12-17,197.6
2020-12-18,201.1
2020-12-19,203.9
2020-12-20,205.3
2020-12-21,206.9
2020-12-22,208.4
2020-12-23,210.8
2020-12-24,213.9
2020-12-25,201.0
2020-12-26,181.4
2020-12-27,169.4
2020-12-28,164.5
2020-12-29,159.1
2020-12-30,157.4
2020-12-31,154.0
2021-01-01,152.2
2021-01-02,148.7
2021-01-03,146.9
2021-01-04,145.7
2021-01-05,144.1
2021-01-06,144.0
2021-01-07,140.3
2021-01-08,148.0
2021-01-09,165.0
2021-01-10,172.9
2021-01-11,172.4
2021-01-12,171.4
2021-01-13,165.7
2021-01-14,161.2
2021-01-15,154.4
2021-01-16,147.0
2021-01-17,143.2
2021-01-18,141.0
2021-01-19,135.9
2021-01-20,131.0
2021-01-21,125.5
2021-01-22,121.2
2021-01-23,117.3
2021-01-24,115.1
2021-01-25,113.3
2021-01-26,110.4
2021-01-27,106.9
2021-01-28,102.6
2021-01-29,98.5
2021-01-30,95.5
2021-01-31,93.6
2021-02-01,92.7
2021-02-02,91.6
2021-02-03,87.8
2021-02-04,85.0
2021-02-05,82.8
2021-02-06,79.8
2021-02-07,77.9
2021-02-08,76.6
2021-02-09,74.6
2021-02-10,70.8
2021-02-11,67.1
2021-02-12,64.5
2021-02-13,62.8
2021-02-14,59.5
