event,start_utc,end_utc,intensity
ENSIKUMAV_DE,2022-08-31T22:00:00+00:00,2023-04-15T21:00:00+00:00,1.0
EU_REG_2022_1854_PEAK,2022-11-30T23:00:00+00:00,2023-03-31T21:00:00+00:00,1.0
